"tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"Departamento","Constitución",2,1,47,75000
"Departamento","Puerto Madero",2,1,87,670000
"Departamento","Villa Urquiza",2,1,63,115000
"Departamento","Villa Urquiza",2,1,45,128000
"Departamento","Parque Chacabuco",2,1,52,115000
"Departamento","Villa Santa Rita",2,1,37,110000
"Departamento","Villa del Parque",2,1,41,125000
"Departamento","Parque Avellaneda",2,1,51,79900
"PH","Flores",3,1,88,99000
"PH","Flores",3,1,99,145000
"PH","Nuñez",3,1,60,138000
"PH","Coghlan",3,1,60,159000
"PH","Caballito",3,1,130,240000
"PH","Mataderos",3,2,110,160000
"PH","Barrio Norte",3,1,68,177000
"PH","Villa Crespo",3,1,62,165000
"PH","Parque Chacabuco",3,1,131,150000
"PH","Villa General Mitre",3,2,78,185000
"Casa","Nuñez",3,2,180,320000
"Departamento","Boedo",3,1,45,90000
"Departamento","Boedo",3,1,43,83000
"Departamento","Nuñez",3,2,127,572000
"Departamento","Nuñez",3,1,60,138000
"Departamento","Nuñez",3,2,89,404000
"Departamento","Retiro",3,3,242,420000
"Departamento","Almagro",3,2,73,110000
"Departamento","Almagro",3,1,90,180000
"Departamento","Almagro",3,1,110,165000
"Departamento","Almagro",3,1,56,126900
"Departamento","Almagro",3,1,85,239999
"Departamento","Almagro",3,1,48,125000
"Departamento","Almagro",3,1,45,109000
"Departamento","Almagro",3,1,64,140000
"Departamento","Liniers",3,1,75,180000
"Departamento","Palermo",3,2,128,398000
"Departamento","Palermo",3,1,72,232000
"Departamento","Palermo",3,4,190,480000
"Departamento","Palermo",3,2,105,364000
"Departamento","Palermo",3,1,62,159000
"Departamento","Palermo",3,1,76,160000
"Departamento","Palermo",3,1,129,400000
"Departamento","Palermo",3,1,66,186000
"Departamento","Palermo",3,1,62,160000
"Departamento","Palermo",3,1,114,353000
"Departamento","Palermo",3,2,80,335000
"Departamento","Palermo",3,2,74,235000
"Departamento","Palermo",3,1,54,149000
